ID,Name,Team,Bonk Points Won
33566,bludmoneyy,$FP x Coinbase wen?,17616.0
19121,Crypto.Doro,$FP x Coinbase wen?,599.0
42316,David Marr,$FP x Coinbase wen?,17932.0
63536,His Dudeness,$FP x Coinbase wen?,5631.0
40498,jahke,$FP x Coinbase wen?,10140.0
30494,Lapsus,$FP x Coinbase wen?,34633.0
60717,OddlyAugmented,$FP x Coinbase wen?,20271.0
5175,Relicz,$FP x Coinbase wen?,3130.0
41737,Saltimbanco,$FP x Coinbase wen?,0.0
60427,Semente Cripto,$FP x Coinbase wen?,41.0
8761,Seth Roller,$FP x Coinbase wen?,777.0
19346,Shugs,$FP x Coinbase wen?,2040.0
14992,taylorr,$FP x Coinbase wen?,2611.0
25652,tofu167,$FP x Coinbase wen?,2544.0
64875,17764,FRENEMIES,0.0
8070,44huntereth,FRENEMIES,13.0
7647,abnormality,FRENEMIES,0.0
15491,Bcat,FRENEMIES,0.0
7573,brocninbuck,FRENEMIES,592.0
41681,Celinho,FRENEMIES,0.0
14616,Choyna,FRENEMIES,1937.0
7826,chuck,FRENEMIES,0.0
15510,Cincinnatus,FRENEMIES,0.0
7760,cryptomozart,FRENEMIES,22651.0
31922,Dirt&Soul,FRENEMIES,2291.0
67481,Ducktaari,FRENEMIES,3039.0
4835,Eben,FRENEMIES,0.0
66402,EINSTEIN,FRENEMIES,689.0
18594,Froomy,FRENEMIES,68290.0
67244,gloGG,FRENEMIES,0.0
65967,i420spit710fire,FRENEMIES,17.0
26084,jguest,FRENEMIES,0.0
41756,KidQuick,FRENEMIES,4013.0
48523,KoreanAppalachian,FRENEMIES,17752.0
21735,Lavel,FRENEMIES,0.0
13689,Lite_God,FRENEMIES,0.0
15161,LuckyShot27,FRENEMIES,2582.0
61087,marcuswithu,FRENEMIES,0.0
20211,maxfromtheblock,FRENEMIES,1933.0
64470,mikey92557,FRENEMIES,2161.0
67683,MindOverMana,FRENEMIES,0.0
49436,Mr.Nobody,FRENEMIES,0.0
25989,Mun1a,FRENEMIES,0.0
35268,Nikza,FRENEMIES,1978.0
7852,noobcoin,FRENEMIES,0.0
55958,Rayzo973,FRENEMIES,3625.0
30135,Sargent.eth,FRENEMIES,4923.0
19428,selwheezie,FRENEMIES,0.0
28653,Sennas,FRENEMIES,15451.0
62963,SmokinToken,FRENEMIES,0.0
64875,Tugz,FRENEMIES,0.0
11169,uk3,FRENEMIES,0.0
15953,What do you mean?,FRENEMIES,3089.0
42192,xyz_6969,FRENEMIES,74.0
33355,Zaampaarstin,FRENEMIES,11498.0
